route,lat,lng,104,103,102
深美國小,25.136155,121.778345,1,1,1
深溪路口,25.134969,121.782498,2,0,0
海中天社區,25.135295,121.784365,0,2,2
巴塞隆納社區,25.135781,121.787015,3,3,3
碧海擎天社區,25.136068,121.787755,0,4,4
普羅旺世社區,25.137225,121.788586,4,0,0
八斗高中,25.139357,121.789546,5,5,5
福泉寺,25.142253,121.789294,6,6,6
魚貨直銷中心,25.144707,121.785542,0,7,7
籃投溝,25.146373,121.783622,0,0,0
北寧路(九八八餐廳) ,25.148362,121.783013,7,0,0
海大體育館,25.150217,121.780979,8,8,8
海大濱海校門,25.150983,121.775609,9,9,9
海大祥豐校門,25.151138,121.77297,10,10,10
海大中正路口,25.151177,121.771876,0,0,0
中正路正濱路口,25.151765,121.770626,0,0,0
正濱派出所,25.152269,121.767927,0,0,0
二信分社,25.151133,121.766918,11,0,0
漁市場,25.150564,121.765455,12,0,0
中濱里,25.149316,121.763626,13,0,0
海調處,25.147398,121.761501,14,0,0
安瀾橋,25.142411,121.760664,15,0,0
中正區行政大樓,25.141036,121.758792,0,11,0
海門天險,25.140928,121.756296,0,12,0
中船路,25.137592,121.750637,16,13,0
信七路口,25.13647,121.747826,17,14,0
信五路口,25.134936,121.746812,18,15,0
市政府,25.132571,121.745256,19,16,18
仁二路(二信循環站),25.129956,121.743024,20,17,19
公車總站,25.1325,121.740083,21,18,20
基隆海事,25.149695,121.771807,0,0,11
市府宿舍,25.14784,121.770915,0,0,12
正濱國小,25.146286,121.769875,0,0,13
二信中學,25.144868,121.767858,0,0,14
祥豐加油站,25.143508,121.765652,0,0,15
祥豐市場,25.14229,121.764335,0,0,16
天主堂,25.141438,121.7616,0,0,17
深美國小.,25.13644,121.778696,41,34,39
深溪路口.,25.135076,121.782257,40,0,0
海中天社區.,25.135222,121.78451,0,33,38
巴塞隆納社區.,25.135514,121.786055,39,32,37
碧海擎天社區.,25.136225,121.787656,0,31,36
普羅旺世社區.,25.138206,121.78894,38,0,0
八斗高中.,25.139503,121.789401,37,30,35
福泉寺.,25.142253,121.789294,36,29,34
魚貨直銷中心.,25.14394,121.786572,0,28,33
籃投溝.,25.146575,121.783449,0,0,0
北寧路(九八八餐廳).,25.148313,121.782798,35,0,0
海大體育館.,25.150115,121.780689,34,28,32
海大濱海校門.,25.150789,121.775689,33,27,31
海大祥豐校門.,25.150939,121.77289,32,26,30
海大中正路口.,25.15108,121.77179,0,0,0
中正路正濱路口.,25.151556,121.770728,0,0,0
正濱派出所.,25.151949,121.767922,0,0,0
二信分社.,25.15108,121.767149,31,0,0
漁市場.,25.150569,121.765755,30,0,0
中濱里.,25.149282,121.763808,29,0,0
海調處.,25.146747,121.761571,28,0,0
安瀾橋.,25.143028,121.761109,27,0,0
中正區行政大樓.,25.140541,121.75866,0,25,0
海門天險.,25.140661,121.756157,0,24,0
中船路.,25.137441,121.751147,26,23,0
信七路口.,25.135975,121.747729,25,22,0
信五路口.,25.134334,121.74664,24,21,0
市政府.,25.132339,121.74533,23,20,22
忠一路孝一路口.,25.130451,121.741445,22,19,21
基隆海事.,25.149289,121.771725,0,0,29
市府宿舍.,25.147976,121.77113,0,0,28
正濱國小.,25.146451,121.770213,0,0,27
二信中學.,25.145064,121.768352,0,0,26
祥豐加油站.,25.143607,121.76599,0,0,25
祥豐市場.,25.142127,121.764115,0,0,24
天主堂.,25.141139,121.76168,0,0,23
