route,a,b,104,103,102
深美國小,25.136333,121.778361,1,1,1
深溪路口,25.135139,121.782333,2,0,0
海中天社區,25.135306,121.78475,0,2,2
巴塞隆納社區,25.135611,121.785639,3,3,3
碧海擎天社區,25.136333,121.787778,0,4,4
普羅旺世社區,25.137444,121.788667,4,0,0
八斗高中,25.139583,121.789444,5,5,5
福泉寺,25.142389,121.789306,6,6,6
魚貨直銷中心,25.145056,121.7855,0,7,7
籃投溝,25.14675,121.783556,0,0,0
北寧路(九八八餐廳) ,25.148355,121.782811,7,0,0
海大體育館,25.150237,121.780909,8,8,8
海大濱海校門,25.150982,121.775624,9,9,9
海大祥豐校門,25.15114,121.772985,10,10,10
海大中正路口,25.151194,121.771875,0,0,0
中正路正濱路口,25.151756,121.770607,0,0,0
正濱派出所,25.152256,121.76793,0,0,0
二信分社,25.151149,121.766927,11,0,0
漁市場,25.150581,121.765452,12,0,0
中濱里,25.149328,121.763623,13,0,0
海調處,25.14739,121.761509,14,0,0
安瀾橋,25.142444,121.760667,15,0,0
正榮街口,25.143111,121.761111,16,0,0
中正區行政大樓,25.140944,121.759,0,18,18
海門天險,25.14075,121.756167,0,19,19
中船路,25.137639,121.750694,17,20,20
信七路口,25.136833,121.747778,18,21,21
信五路口,25.134694,121.746694,19,22,22
市政府,25.132361,121.745389,20,23,23
仁二路(二信循環站),25.129972,121.743056,21,24,24
公車總站,25.1325,121.740083,22,25,25
基隆海事,25.149333,121.771722,0,11,11
市府宿舍,25.148111,121.771167,0,12,12
正濱國小,25.146528,121.770222,0,13,13
二信中學,25.145639,121.768361,0,14,14
祥豐加油站,25.143528,121.765667,0,15,15
祥豐市場,25.142139,121.764111,0,16,16
天主堂,25.141167,121.761667,0,17,17
